Handle,Timestamp,Content,Comments,Retweets,Likes
@BasedBeffJezos,2023-10-22T00:36:46.000Z,Deceleration from over-regulation *is* the great filter,18,14,189
@MikeIppolito_,2023-10-21T13:26:10.000Z,"In 1998 Bill Gates argued to end the ban on encryption.

The rationale? The ban was “sending business to overseas firms.”

In 2023  is making the same argument, history rhymes.",39,99,597
@abcampbell,2023-10-21T16:29:36.000Z,"Been trying to tell y’all…

He who controls the spice (chips) controls the 21st century.",13,16,165
@BuildOnBase,2023-10-20T18:09:05.000Z,"Introducing Base Bootcamp, an eight-week program designed to turn experienced developers into smart contract developers

Base Bootcamp will make learning interactive and collaborative, with support from experienced engineers and dedicated mentors",77,182,580
@vkhosla,2023-10-20T17:02:44.000Z,"To restrict AI from training on copyrighted material would have no precedent in how other forms of intelligence that came before AI, train.

There are no authors of copyrighted material that did not learn from copyrighted works, be it in manuscripts, art or music. You can't…",240,312,"1,238"
@brian_armstrong,2023-10-20T23:04:55.000Z,,48,45,457
@ShanAggarwal,2023-10-20T04:15:31.000Z,"Market may be down, but the vibes are up! Inspiring energy from our first-ever  summit",18,13,165
@ljxie,2023-10-20T04:02:01.000Z,One of the highest quality events I've ever been to. Highly recommend founders applying to a future  summit,13,8,146
@brian_armstrong,2023-10-20T03:50:12.000Z,"Attended our first  summit yesterday in Malibu, CA. Was great meeting so many awesome crypto builders in this down market. From flat coins, to p2p onramps, to onchain reputation - the future is bright.",127,128,896
@RyanSAdams,2023-10-19T15:24:25.000Z,"Elizabeth Warren is trying to kill crypto in the U.S.

It's aggressive. It's coordinated.

I was about to record the rollup with  this week and what do i see?

A letter from Elizabeth Warren asking the IRS to speed up its already hasty af implementation of new tax…",211,452,"1,811"
@iampaulgrewal,2023-10-19T11:20:08.000Z,The world is not waiting on the US for regulatory clarity. And neither are we.,48,143,836
@NanaMurugesan,2023-10-19T11:18:38.000Z,Delighted to serve nearly half a billion people under one regulatory framework.,12,45,295
@brian_armstrong,2023-10-19T22:24:17.000Z,,51,51,586
@scottshapiro,2023-10-19T16:23:59.000Z,"Coinbase International Exchange Perpetual Futures Market data, public and live https://international.coinbase.com",17,29,163
@avichal,2023-10-18T20:52:24.000Z,"Everyone should join 's opposition to this proposed tax rules from US Dept of Treasury.

The proposals are *terrible* for privacy. 

The rules as would require reporting to the IRS every personal expenditure ranging from a cup of coffee to health care cost info",9,24,136
@brian_armstrong,2023-10-19T06:16:24.000Z,Major milestone,83,176,924
@iampaulgrewal,2023-10-18T17:26:33.000Z,Everyone who cares about fairness and supports American innovation should chime in on Treasury's proposed regulations for tax reporting of digital assets. You can join ’s opposition to the rulemaking here. 1/4,37,151,498
@jconorgrogan,2023-10-18T14:02:15.000Z,"The treasury department has sanctioned a Hamas-linked wallet as Politico reports that ""Crypto’s role in financing Hamas’ activity has emerged as a hot issue for lawmakers""

The sanctioned wallet has $16 in it and made its last transfer 18 months ago",52,208,756
@iampaulgrewal,2023-10-18T10:45:40.000Z,"It’s disappointing that some would capitalize on a tragedy to scapegoat crypto while ignoring significant terror finance elsewhere. But no currency—whether fiat, gold, or crypto—should ever be used to support terrorism. Here’s how we fight it at .",40,112,612
@brian_armstrong,2023-10-19T01:28:38.000Z,,42,62,641
@arrington,2023-10-17T17:16:37.000Z,"I really do think this is the greatest gaslighting tweet that has ever been written, and quite possibly better than anything that COULD be written.  Inflation is quite tame if you remove everything people need to actually survive.",49,105,551
@iampaulgrewal,2023-10-17T12:58:15.000Z,AB39 is now the law in California. I wanna share a few thoughts from  on this new licensing and regulatory framework for digital financial asset business activity. 1/3,36,57,342
@brian_armstrong,2023-10-16T22:56:05.000Z,"Excited for our first  Summit this week. We received 600+ applications and selected ~25 for our first cohort based on the ideas in the video below.

Hopefully we can help them (in some small way) bring the next generation of crypto companies to life.",61,68,536
@brian_armstrong,2023-10-16T17:23:08.000Z,"This is the path toward progress.

Decel narratives are all around us in popular culture and in meetings amongst elites. Thank you  for a breath of fresh air.",51,47,447
@brian_armstrong,2023-10-16T03:37:56.000Z,"I never heard this explicitly mentioned at  but it was apparent, and I somehow internalized it and appreciated it, to the point where we actually made it one of our values at https://coinbase.com/blog/culture-at-coinbase-2021…",51,40,470
@brian_armstrong,2023-10-16T16:36:28.000Z,"I used this to practice for my YC interview, which does a great job reinforcing the idea of concisenesshttps://jamescun.github.io/iPG/",8,1,35
@brian_armstrong,2023-10-16T03:53:31.000Z,"Good luck to everyone who applied! If you missed it, keep making progress and apply next time.",38,29,265
@balajis,2023-10-15T22:50:04.000Z,"Come to the Network State Conference in Amsterdam on Oct 30.

Our speakers include Greenwald, Vitalik, Anatoly, Garry Tan, the Winklevosses, Tyler Cowen, and founders of startup societies from around the world.

This won't be a typical tech conference.",159,349,"1,640"
@brian_armstrong,2023-10-14T15:36:43.000Z,Yes - or antitrust action,123,95,761
@iampaulgrewal,2023-10-14T00:43:07.000Z,Facts should drive narratives. Narratives shouldn’t drive facts.,13,29,279
@brian_armstrong,2023-10-14T15:26:41.000Z,,37,44,479
@CoinbaseWallet,2023-10-11T19:00:01.000Z,"Calling all Arbinauts, check out the  features that launched this month:

DEX trading with zero Coinbase fees, bridging between Ethereum and Arbitrum, and gas-free sends.

→ http://coinbase.com/wallet",32,65,242
@iampaulgrewal,2023-10-11T20:38:09.000Z,Today the SEC provided its court-ordered update to the Third Circuit in Coinbase’s mandamus action: yesterday the SEC staff made some kind of recommendation to the Commission related to our rulemaking petition. That’s it. That’s the whole update. 1/3,51,118,566
@coinbase,2023-09-27T18:49:28.000Z,"California, Congress will be writing the rules on crypto soon. And calling your congressperson is the best way to have a say. 

Here’s how to do it in under 60 seconds → http://standwithcrypto.org/call",26,35,216
@coinbase,2023-09-27T18:49:28.000Z,"Nevada, Congress will be writing the rules on crypto soon. And calling your congressperson is the best way to have a say. 

Here’s how to do it in under 60 seconds → http://standwithcrypto.org/call",26,45,144
@brian_armstrong,2023-10-11T04:04:54.000Z,"At  we don’t care if crypto is in a winter, or if people are pivoting to some new hot thing, we just keep showing up every day to build.

Progress toward important missions takes decades, and will have lots of ups and downs along the way. Persistence and determination…",544,757,"6,691"
@MessariCrypto,2023-10-09T13:58:39.000Z,"L2 transactions accounted for 61% of all Ethereum transactions in Q3.

The growth came largely from Base’s explosive launch and the virality of . Over a brief period near the end of the quarter, Base alone was doing more transactions than Ethereum Mainnet.

Optimism…",33,81,284
@iampaulgrewal,2023-10-10T02:38:21.000Z,Here's how our Eng team is using AI to detect ERC-20 scam tokens. It's only the beginning.,55,96,496
@coinbase,2023-09-27T18:49:28.000Z,"California, Congress will be writing the rules on crypto soon. And calling your congressperson is the best way to have a say. 

Here’s how to do it in under 60 seconds → http://standwithcrypto.org/call",87,196,776
@twobitidiot,2023-10-09T14:27:58.000Z,"It's official. 10 Years in Crypto.

What a ride.",99,39,"1,078"
@brian_armstrong,2023-10-08T14:20:46.000Z,Open source more of AI! It’s the best tool to prevent unintended harm from government action.,121,119,964
@brian_armstrong,2023-10-05T15:26:05.000Z,Great catching up and excited to grow the $USDC ecosystem together!,133,91,855
@APompliano,2023-10-05T00:36:17.000Z,"The national debt problem is very quickly getting much worse. We saw an increase of $275 billion added to the debt in a single day and as it was pointed out online, the US is on track to add $1 trillion to the national debt in a single month.

This is bonkers.

The United States…",275,702,"2,765"
@brian_armstrong,2023-10-04T00:52:47.000Z,,95,142,"1,005"
@iampaulgrewal,2023-10-03T02:42:37.000Z,"Federal judges take jury selection quite seriously. I'm sure that tomorrow am, Judge Kaplan will be no exception as he begins trial in the case against SBF. As someone who picked 35ish juries in federal court, I have a few thoughts on what to expect. ",30,36,279
@brian_armstrong,2023-10-02T23:53:28.000Z,"I wonder if Google would ever make a high end Chromebook to challenge Apple

It would be nice to have a simpler desktop OS, but the hardware is all going after low end of market.",141,74,678
@iampaulgrewal,2023-10-02T04:34:02.000Z,Major Payment Institution (MPI) licence from the Monetary Authority of Singapore:  secured.  Thank you MAS.,43,106,611
@yugacohler,2023-09-30T20:27:50.000Z,"It is in America’s national interest to foster the domestic development of cryptocurrencies, web3, and blockchain, because these technologies will form the foundations of a new international monetary and financial order that the USA should have a say in.",21,37,221
@brian_armstrong,2023-10-01T04:08:47.000Z,"We should make this a reality.

Economic freedom and an updated financial system is one major component of it.",80,85,567
@brian_armstrong,2023-09-30T19:34:55.000Z,"Great chat about  for SciConhttps://youtube.com/watch?v=XQFGuzsUvHo…ResearchHub is a modern day pre-print server, and open science platform working to accelerate science - early days.",33,46,237
@faryarshirzad,2023-09-29T19:14:28.000Z,1/ Amazing few days in DC.  and  brought together more than 50 Web3 entrepreneurs and innovators from around the country to meet with Members of Congress. The result was simply incredible.,20,45,224
@bscholl,2023-09-28T20:25:23.000Z,XB-1 more than 100mph down the runway yesterday! Was awesome to be here in Mojave with the  team and see it happen live,18,28,132
@brian_armstrong,2023-09-29T17:01:15.000Z,"Speaking to our class of APMs at  today, and this is still true (wrote it back in 2016)",44,56,359
@dwr,2023-09-29T03:20:04.000Z,"Coinbase shipping BitMEX-but-legal is underrated. 

Ex-US crypto derivatives trading volumes have been orders of magnitude greater than spot. 

Perp swaps have the best product market fit in crypto after Bitcoin and Etheruem.

A decade in the making. Kudos to the team.",23,33,224
@novogratz,2023-09-28T13:38:44.000Z,Great day in DC pushing for crypto regulation.  Thanks to  for setting up #StandWithCrypto !!! Crypto should be and will be a bi-partisan issue.  We need to flip a minority of influential dems but we will get something done in time.,129,95,950
@coinbase,2023-09-28T13:43:30.000Z,"The expansion continues…

Thrilled to announce that Coinbase International Exchange has secured regulatory approval from the Bermuda Monetary Authority (BMA) to enable perpetual futures for non-US retail customers.",172,493,"2,415"
@brian_armstrong,2023-09-29T01:23:33.000Z,Huge,36,66,501
@brian_armstrong,2023-09-28T22:34:53.000Z,"Enjoyed this conversation with  and Carolynn Levy (who both helped me enormously at ) about the founding of  

Check out their podcast.",25,30,213
@brian_armstrong,2023-09-28T14:06:25.000Z,"In congress, crypto is not partisan, it’s more generational.",211,337,"2,785"
@brian_armstrong,2023-09-28T11:53:28.000Z," Was great to have so many members of congress meeting crypto entrepreneurs from their own districts, creating jobs and innovating in America. It put a face to the name, and reset their view of what the industry is. Can’t let a few bad apples (both in our industry and in our…",130,284,"2,430"
@MikeFraietta,2023-09-27T13:40:01.000Z,"Live at the  money truck in DC - the future of money doesn’t move on a truck 
“Is there a  in the back?” -  <— who then pulls out a ledger.  
Cold Brew cans with crypto stats being served.
Rolling deep to  hearing. #StandWithCrypto",38,153,732
@elitanjourno,2023-09-27T14:52:21.000Z,Coinbase handing out cold brew on Cap Hill,62,159,"1,552"
@GOPMajorityWhip,2023-09-27T16:28:54.000Z,"FACT:  is NOT an impartial regulator and his answers to my questions today prove just that.

He's made a career of being relentlessly loyal to the largest institutions in America at the clear expense of innovation, competition, and everyday Americans.","1,164","3,325",12K
@owocki,2023-09-28T02:15:59.000Z,"OWOCKI TELL ME ABOUT YOUR TRIP TO DC sure anon, i'd be delighted to share my #standwithcrypto day debrief.

i was one of ~40 founders invited to   day in washington DC.  it was my first time being in DC, and i identify as a software engineer,…",46,93,463
@Jenniferisms,2023-09-27T21:46:18.000Z,"WATCH.  CEO  told me in an exclusive interview this afternoon that this is crypto's 5G moment where if Congress doesn't act in five years, obs will be lost to overseas and we'll be trying to get this back on shore",24,79,460
@zosegal,2023-09-27T15:13:38.000Z, http://standwithcrypto.org,9,42,248
@haydenzadams,2023-09-28T02:46:50.000Z,Thanks  So glad we have you and Coinbase standing with DeFi and fighting for the whole industry,45,70,699
@brian_armstrong,2023-09-28T03:21:36.000Z,,46,214,"1,776"
@brian_armstrong,2023-09-28T01:54:22.000Z,"I found the money truck today in DC.

It’s time to let congress know we need to update the system.

Call: http://standwithcrypto.org/call",104,218,"1,772"
@brian_armstrong,2023-09-27T21:46:12.000Z,,70,311,"2,352"
@brian_armstrong,2023-09-27T21:43:55.000Z,,27,54,253
@brian_armstrong,2023-09-27T20:29:34.000Z,"Calling it now,  will be San Francisco mayor.

It will be a tough but much needed turn around job.

(hopefully only after he is done with his very important work at  !)",115,148,"1,874"
@brian_armstrong,2023-09-27T16:43:37.000Z,"Here at our nations capital for #StandWithCrypto day with 40 crypto founders from across the country.

It’s time for America to join the rest of the G20 and get some clear rules on the books.",171,423,"2,364"
@brian_armstrong,2023-09-27T16:44:08.000Z,Great meeting with ,37,46,249
@brian_armstrong,2023-09-27T16:44:29.000Z,,15,22,165
@coinbase,2023-09-26T22:09:48.000Z,"52 million Americans own crypto, which should be front-page news.

But in the meantime, it’s back-page and quarter-page news in the , today and tomorrow. #StandWithCrypto",197,650,"2,473"
@brian_armstrong,2023-09-26T21:47:14.000Z,"Totally inappropriate behavior from  UK (this is their UK bank only is my understanding)  It appears  UK does not respect your policy goals - thoughts?

UK crypto holders should close their  accounts if this is how they're going to be…",829,"1,576","8,059"
@brian_armstrong,2023-09-26T22:13:27.000Z,"Really hoping there is more to this story than meets the eye, and that this does not reflect Chase UK's actual view.",83,36,894
@brian_armstrong,2023-09-26T21:51:18.000Z,It's 2023. Money should not move at the speed of this truck!,93,179,"1,238"
@brian_armstrong,2023-09-25T21:46:36.000Z,"If you live in the UK, try Coinbase Advanced for zero fees https://coinbase.com/advanced-trade",83,74,455
@brian_armstrong,2023-09-25T18:40:45.000Z,"The layer 2 revolution is already happening in crypto
Not widely discussed, and just getting started

Scalability will be a big deal, unlocking utility, payments, next wave of growth",254,231,"1,253"
@brian_armstrong,2023-09-25T17:00:37.000Z,Well said. Was a missed opportunity to lead.,56,45,472
@iampaulgrewal,2023-09-25T16:55:25.000Z,"Coinbase is proud to engage with Celsius to distribute crypto back to its customers. I wonder, why would the SEC object to a trusted US public company taking on this role?  We look forward to addressing this with the bankruptcy court and undertaking our important role to make…",191,416,"1,951"
@BuildOnBase,2023-09-22T19:59:32.000Z,"One week remaining to submit a video to our Stand with Crypto  round

Create a minute-long story about why you believe an onchain future is important

5 ETH for the top 5 proposals. Let's go ",83,131,341
@brian_armstrong,2023-09-25T04:32:47.000Z,Bullish https://twitter.com/twobitidiot/status/1702284342653755743…,61,84,676
@jasonfried,2023-09-23T21:35:15.000Z,"Thoroughly inspired by the business side of the  biography.

Most overused and inaccurately applied word in the book: Reckless.

I find most of his business decisions snugly wrapped in *practicality*. Much of the stuff that’s branded risky actually feels like risk…",115,295,"2,376"
@zach__davidson,2023-09-22T19:11:38.000Z,"mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission: improve crypto ux
mission:…",88,65,473
@brian_armstrong,2023-09-22T23:17:47.000Z,Poderoso ,20,12,187
@brian_armstrong,2023-09-22T22:38:28.000Z,Thanks for hosting me  https://twitter.com/twobitidiot/status/1705282155499200603…,25,20,185
@PatrickJBlum,2023-09-21T17:55:35.000Z,"> be me, living in the year 2030
> feels like a sci-fi movie but with more ads
> get a call on my Neuralink
> voice says, ""ah, wrong brainwave frequency, my bad bro""
> go back to watching Fast and Furious XXIV on VR Netflix
> 2 seconds later, get a notification
> ""Voice ID…",46,142,"1,166"
@ViktorBunin,2023-09-22T19:44:17.000Z,It only costs $10k to take the top spot in the donation leaderboard on https://standwithcrypto.org. These are the best marketing dollars a project can spend and I invite folks to come take the top spot from !,7,21,94
@brian_armstrong,2023-09-22T22:07:48.000Z,"Count me as someone who believes AI should not be regulated

We need to make progress on it as fast as possible for many reasons (including national security). And the track record on regulation is that it has unintended consequences and kills competition/innovation, despite best…",503,530,"3,227"
@Austen,2023-09-21T13:14:24.000Z,The bureaucrat:builder ratio in the United Stares is absolutely out of control,98,200,"1,904"
@brian_armstrong,2023-09-22T00:47:14.000Z,"Opening this up to all tech startups looking for office space - including software companies.

We have great regular office space as well.

The density of really ambitious companies in one spot should be fun.

Same form: https://docs.google.com/forms/d/e/1FAIpQLScyaHHGPpexslXQ8clkGk-7lrQP59T2kqlQvxNPIamsYHHkpQ/viewform?usp=sf_link…",77,65,489
@brian_armstrong,2023-09-21T23:30:23.000Z,"lol - this is real

Our government is a bit old school. Pick up the phone and CALL.

We're not going to let a few activists try and unlawfully kill crypto in the the land of the free. https://standwithcrypto.org/call",84,208,"1,260"
@brian_armstrong,2023-09-21T23:22:41.000Z,Talk should be coming out soon - thank you to  for hosting me!,28,34,266
@brian_armstrong,2023-09-21T21:02:53.000Z,"This was a fun talk with an awesome group - love  

We need to stand up for our rights (call, donate, vote on http://standwithcrypto.org) and send a message to Washington

Then let’s get back to building with this amazing tech we have. That’s on us.",45,45,422
@matthuang,2023-09-20T21:27:16.000Z,"*The Casino on Mars*

It’s useful to think of crypto as a new planet that’s being settled.

Skeptics see a desolate planet without purpose. Or worse, a haven for an unsavory casino.

Optimists see the planet’s potential: a blank slate on which we can build an upgraded financial…",153,673,"2,074"
@brian_armstrong,2023-09-21T17:59:29.000Z,"Cryptocurrency adoption looks a lot like messaging app growth circa 2010.

Local players with high fee structures, poor cross border interoperability, etc.https://chainalysis.com/blog/2023-global-crypto-adoption-index/…HT ",71,114,594
@paulg,2023-09-20T10:25:22.000Z,I don't mind when people are unambitious. It's up to each person to decide that. But it bugs me when the people who aren't ambitious try to bring down those who are.,419,"1,653",11.3K
@eladgil,2023-09-20T02:25:06.000Z,,42,107,520
@brian_armstrong,2023-09-20T03:08:42.000Z,"It’s an unfortunate reality that much of science is fake work. Results that won’t replicate, papers of no consequence, even entirely fake disciplines.

We would benefit from more scientists working on higher risk, higher reward breakthroughs that could translate into real…",371,441,"3,207"
@moshaikhs,2023-09-19T20:57:08.000Z,"Easy Web3 onboarding is critical to the next wave of adoption. With ’s integration of  Pay, your first steps into Web3 are easier than ever.

This  partnership is a huge step toward frictionless onboarding of millions.",23,28,128
@coinbase,2023-09-19T16:52:33.000Z,"52M Americans own crypto. They’re younger & more diverse than the US population in total. But their voices aren’t being heard by Congress.

That’s about to change.

Here’s what we’re doing—and what you can do to help mobilize 1M people to #StandWithCrypto:",662,"5,849","8,078"
@ViktorBunin,2023-09-18T21:44:56.000Z,"Want to do dope crypto native stuff at  as a PM? Complete this bounty. Winners will at best get a very nice job, but at worst will walk away with up to $2k for their time. https://coinbase.com/bounty/5UjkrQJ3lFiActZKEyZrew…",23,29,145
@brian_armstrong,2023-09-16T21:14:19.000Z,"Poetic and inspiring talk from  

Freedom is on the frontier, and it’s messy, but it creates the best outcomes for society. Those claiming to protect us from it are after power for themselves and end up harming society.

We’ve seen how that experiment plays out many…",145,283,"1,621"
@brian_armstrong,2023-09-16T21:20:16.000Z,"The most regulated industries have higher prices and less competition + innovation, harming consumers.

The free market is the best regulator, quickly weeding out companies with worse products and worse prices.",94,163,707
@brian_armstrong,2023-09-16T03:55:21.000Z,Instant classic from  So good,56,70,466
@brian_armstrong,2023-09-14T23:17:49.000Z,We will be updating their scorecards on http://standwithcrypto.org accordingly,86,194,"1,137"
@dwr,2023-09-13T15:51:10.000Z,"Ah yes, the classic $0 to $1.4B in revenue in 3 years underachievement.",57,112,"1,698"
@brian_armstrong,2023-09-13T21:55:58.000Z,"""Free"" office space

If you're a biotech or hard tech startup building something awesome,  has extra office/lab space to share in South San Francisco and is looking for great neighbors.

Open to taking a small equity stake in lieu of cash to preserve your runway.

Say…",150,78,496
@brian_armstrong,2023-09-13T19:36:44.000Z,"The CFTC should not be creating enforcement actions against decentralized (DeFi) protocols. These are not financial service businesses, and it’s highly unlikely the Commodity Exchange Act even applies to them.

My hope is these DeFi protocols take these cases to court to…",245,438,"2,057"
@brian_armstrong,2023-09-13T03:55:10.000Z,"The team did a great job digging into this, and we've made the decision to integrate Lightning. Bitcoin is the most important asset in crypto and we're excited to do our part to enable faster/cheaper Bitcoin transactions. Will take some time to integrate so please be patient.",471,"1,057","5,746"
@brian_armstrong,2023-09-13T02:44:15.000Z,I'll be speaking at #Mainnet2023. Join me at the event on Sept 20-22 in NYC. https://zpr.io/VGA5nxcjUW3V #Mainnet2023 @messarimainnet ,42,27,210
@typesfast,2023-09-12T17:46:53.000Z,"Very proud of the  team for launching our new offering for entrepreneurs and small businesses today. Flexport started as a tech-enabled freight forwarding platform, but we have always had a bigger vision. Now we’ve connected our international shipping services with…",51,133,517
@yugacohler,2023-09-12T14:13:07.000Z,"My thesis for working at  is simple. It is the most legit crypto company. So if crypto does well, then Coinbase will do well, and vice versa. I also believe in crypto and enjoy working on crypto. So work is fun and meaningful. That's all there is to it.",60,49,560
@jacobkimmel,2023-09-08T15:54:29.000Z,"late summer  

- world's largest partial reprogramming screen (again)
- 3x'd speed of sequencing turn-around
- 5x'd reprog factor library size
- built our first integrated reprog corpus for model training
- team += 3

all in our latest blog!",16,24,125
@coinbase,2023-09-11T16:16:32.000Z,The SEC Chair is set to testify on Tuesday. Here are the facts. https://coinbase.com/blog/just-the-facts-a-regulation-by-enforcement-only-approach-is-hurting-american…,259,757,"2,290"
@tomuky,2023-09-09T16:28:35.000Z,"broke: paying fees, no purpose in life
woke:  One Monthly plan
bespoke:  One Annual plan",20,11,88
@prestonjbyrne,2023-09-08T00:07:02.000Z,"Increasingly, dissents from the likes of  and  read like those historic judicial dissents which were minority views at the time but are self-evidently correct in hindsight - I believe the phrase is, “on the right side of history.”",13,40,189
@brian_armstrong,2023-09-09T21:40:02.000Z,Minted https://peachdrop.xyzThese peaches are incredible - no joke,147,83,592
@brian_armstrong,2023-09-09T19:10:03.000Z,,85,114,609
@Kr00ney,2023-09-08T21:22:25.000Z,"Sat down with Coinbase CEO  at Goldman Sachs conference in SF On regulation: ""We need to have clear rules that recognize the innovation potential of this technology but also protect consumers from harm. And in the absence of that we've seen terrible things…",29,37,226
@FEhrsam,2023-09-06T18:57:46.000Z,Privacy Pools has the potential to be the most important tool we have to address regulatory challenges while maintaining privacy on public blockchains.,63,720,277
@coinbase,2023-09-07T20:22:58.000Z,"Today, 83% of G20 members and major financial hubs have made progress toward regulatory clarity for crypto. But the US is an outlier.

A picture paints a thousand words. https://coinbase.com/blog/announcing-phase-ii-of-our-international-expansion-strategy-83-of-major-hubs…",284,642,"1,989"
@mckaywrigley,2023-07-06T20:54:08.000Z,George Hotz is so based.,185,763,"3,715"
@SahilBloom,2023-09-07T12:08:56.000Z,"In 2009, Stanford business professor Tina Seelig split her class into groups and issued a challenge:

Each group had $5 and 2 hours to make the highest return on the initial money.

At the end, they'd give a short presentation on their strategy.

The results were fascinating...…",298,"2,588",12.1K
@PalmerLuckey,2023-09-07T04:26:39.000Z,"So glad we can finally talk about this!  Fury is a high-performance, multi-mission group 5 autonomous air vehicle.  It is capable of pulling 9Gs at Mach 0.95 for a tiny fraction of the cost of similarly performant fighter craft.https://anduril.com/fury/",364,"1,149","7,248"
@byersblake,2023-09-06T15:41:07.000Z,"To invent an age reversing cocktail, start by looking at what makes young cells different from old cells and borrow that magic youth sauce. https://blog.newlimit.com/p/july-august-2023-progress-update…",8,20,72
@brian_armstrong,2023-09-06T00:29:09.000Z,Well done  and  ,69,55,401
@brian_armstrong,2023-08-30T16:32:17.000Z,"1/ I'm sharing the 10 ideas I'm most excited about in crypto right now. If you're building something in crypto or thinking about doing so - check it out.

We’re building lots at Coinbase, but we don't have time to tackle everything. So I figured I'd share these. Bear markets are…",940,"2,995","5,916"
@brian_armstrong,2023-08-30T16:35:48.000Z,4/ Video is also on YouTube here,26,24,269
@brian_armstrong,2023-09-06T00:21:05.000Z,5/ I added a bonus idea: Web3 version of LinkedIn,31,15,101
@brian_armstrong,2023-09-06T00:20:02.000Z,"We've gotten more than 150 applications so far! Awesome to see.

One other idea (#11) I'll add into the mix: a Web3 version of LinkedIn
- it would be great if companies could issue soulbound NFTs to verify employment or credentials
- build a front end to explore employee and…",229,293,"1,362"
@brian_armstrong,2023-09-01T01:23:19.000Z,"#OnchainSummer has been a beautiful reprieve from the hostilities toward the industry.

Shows the culture and builders are still here. Shows how many bugs and rough edges we still have to work on to go mainstream. Gave us great motivation to keep improving L2s, UX, etc. Shows the…",281,96,582
@brian_armstrong,2023-09-01T00:03:13.000Z,. what is your position on crypto and the current crypto bills in the house? https://twitter.com/twobitidiot/status/1697294241309786224…,58,67,489
@JoinBasedMgmt,2023-08-30T16:12:00.000Z,"GM management Drop #3 by our newest creator  is live

Mint:",21,37,106
@iampaulgrewal,2023-08-31T03:54:58.000Z,"After Grayscale, I was curious about other APA-review cases that were filed and adjudicated under the current SEC administration. I’m happy to be corrected, but there appears to be three others. The overall record?  1-3. ",52,73,370
@brian_armstrong,2023-08-31T00:52:48.000Z,"One point of clarification: you don’t have to be working on one of these 10 ideas to apply. 

You can apply with any idea in crypto, or even if you don’t have a specific idea (but you have to have built something awesome in the past/have a demonstrated track record of shipping).",136,112,637
@brian_armstrong,2023-08-31T00:53:59.000Z,And at least someone on the team must be technical (can code).,34,7,87
@haydenzadams,2023-08-30T21:02:54.000Z,"1/ 

Huge win, long live DeFi One longtime fear of mine has been bad legal interpretation of our complex, technical industry

It’s highly motivating to see US courts hold up arguments I’ve felt deeply for years

Below are some of the most BASED  (smart) court comments",165,493,"1,710"
@VivekGRamaswamy,2023-08-30T17:45:34.000Z,The shadow government in D.C. is out of control & the federal courts are our *only* remaining line of defense against the unlawful rogue behaviors of 3-letter government agencies. This decision is strong and clears a path to keep Bitcoin & blockchain innovation in the U.S.…,471,825,"5,443"
@nikil,2023-08-30T01:33:38.000Z,Excited to support !  ,14,21,121
@tobi,2023-08-30T01:41:55.000Z,"Cynicism and pessimism sound smart. Often, you encounter them because someone wishes to sound smart, but likely isn't.",67,214,"1,285"
