Handle,Timestamp,Content,Comments,Retweets,Likes
@justinsuntron,2023-09-21T09:38:26.000Z, Defending the crypto frontier with unwavering determination! #TRON remains steadfast in safeguarding the future of digital assets. #TRX,1.1K,5.5K,7.3K
@justinsuntron,2023-10-26T14:35:21.000Z,三季度结束了，三季度实际收入为2.02亿美元，支出为1.04亿美元，盈利为9800万美元，环比增长14%，集团增收降本措施持续见效。四季度预测收入为1.9亿美元，支出8800万美元，盈利为1.04亿美元。,100,23,153
@justinsuntron,2023-10-26T14:43:34.000Z,对于行业的未来预测，我们认为最严酷的冬天已经过去，在比特币ETF即将通过的大背景下，今年Q4，明年Q1，加密市场会迎来春天的复苏，对于整体财务指标的持续好转，我们是怀有坚定信心的。,9,2,23
@justinsuntron,2023-10-26T14:52:23.000Z,本指标是集团财务的运营性指标，不含投资类损益，本季度集团投资相关公司瑞幸咖啡等公司股价大幅上涨，也带来了很好的收益。,9,0,11
@trondao,2023-10-25T20:04:39.000Z,Keep up with the latest updates and developments from #TRON and Tangem! Follow  and  and share your thoughts on the partnership below.  Make sure to RSVP to our upcoming space with Tangem to learn more about this collaboration.,20,19,73
@TRONSCAN_ORG,2023-10-26T06:11:24.000Z,"Highlights of #TVC on #TRONThe total value of tokens in circulation on #TRON is over $63.3 billion.

The top 3 tokens on #TRON by market cap are  $USDT ($44.8b),  $TRX ($8.26b),  $BTC ($3.91b).",14,24,61
@trondao,2023-10-11T19:27:20.000Z,Let's learn more about our recent integration with ’s #BigQuery and how it will benefit all our #TRON users. ,92,194,423
@DefiantNews,2023-10-26T05:11:52.000Z, recently dropped a report showing that  was the leading blockchain for stablecoin transfers with 2.4M weekly active addresses!  could you comment on how Tron has been able to become the leading blockchain for stablecoin transfers?,9,7,31
@tugsangokgoz,2023-10-25T17:11:11.000Z,"Justin Sun yine şovunu yaptı, iki ayrı ödülü kaptı  #BlockchainLife2023 Dubai",22,27,176
@trondao,2023-10-25T20:04:38.000Z,"We've teamed up with  to introduce #TRON-branded hardware wallets! Limited-edition #TRON-branded Tangem hardware wallets will be made available to both communities.  

This partnership extends support for #TRON's network features and ecosystem projects. ",32,48,163
@justinsuntron,2023-10-25T16:35:55.000Z,"What a day at ! 

Took home ‘Crypto Entrepreneur of the Year’. Big shoutout to  for their win. Thanks for all the support. ",167,99,457
